#Fivefold cross-validation,gini_importance,Features
2,0.05322300863432714,GERP score
3,0.05192705394236934,GERP score
1,0.051219926641407454,GERP score
5,0.051167667843116243,GERP score
4,0.04959124878539824,GERP score
5,0.041632488928250576,FitCons score
2,0.04045758998816518,FitCons score
1,0.04020565021651122,FitCons score
3,0.04010431708486913,FitCons score
4,0.038705408056087034,FitCons score
4,0.035590233187585675,GERP neutral rate
1,0.03514134679809394,GERP neutral rate
4,0.03501863685299013,Distance to nearest TSS
3,0.03483804909216192,GERP neutral rate
2,0.03451073398696123,GERP neutral rate
5,0.03346082039228743,GERP neutral rate
5,0.033321147285500764,Distance to nearest TSS
1,0.03321017377717512,Distance to nearest TSS
2,0.03301013073336419,Distance to nearest TSS
3,0.03267250969176064,Distance to nearest TSS
3,0.03042460923489604,PhastCons100way vertebrate
1,0.029856586313078692,PhastCons100way vertebrate
3,0.02953290578625721,PhyloP100way vertebrate
4,0.02935615035794166,PhastCons100way vertebrate
1,0.0290857867037921,PhastCons46way primate
1,0.029037647543694697,PhyloP100way vertebrate
2,0.028999938338609397,PhastCons100way vertebrate
1,0.028932933496358986,PhastCons46way vertebrate
3,0.028920505921706932,PhastCons46way mammal
1,0.028912011223178564,PhyloP46way primate
1,0.028895476186162446,PhyloP46way vertebrate
3,0.02882770378705039,PhyloP46way primate
4,0.028786409923006753,PhyloP100way vertebrate
1,0.028761026743066583,PhastCons46way mammal
1,0.028691000325795808,PhyloP46way mammal
3,0.028649854403353364,PhastCons46way vertebrate
5,0.028602172885119567,PhastCons100way vertebrate
3,0.028457779022412658,PhastCons46way primate
2,0.028434492460407662,PhyloP100way vertebrate
4,0.028375886903222763,PhastCons46way mammal
3,0.028367726959428165,PhyloP46way mammal
3,0.02832194552736136,PhyloP46way vertebrate
2,0.028226384120279335,PhyloP46way mammal
5,0.028206941143921752,PhyloP100way vertebrate
4,0.028142605409749697,PhastCons46way vertebrate
4,0.028108442856512136,PhastCons46way primate
2,0.028107183499716686,PhastCons46way mammal
4,0.028084035888937965,PhyloP46way vertebrate
5,0.028048758288976957,PhastCons46way vertebrate
5,0.028030656666201678,PhyloP46way primate
2,0.028021649281672875,PhastCons46way vertebrate
4,0.02797216634964051,PhyloP46way primate
2,0.027951433232331138,PhastCons46way primate
5,0.027941379001518357,PhastCons46way mammal
2,0.027941163249277822,PhyloP46way vertebrate
4,0.027864101402317685,PhyloP46way mammal
5,0.027744800354680126,PhyloP46way mammal
5,0.027639095224687608,PhyloP46way vertebrate
5,0.02762243004396618,PhastCons46way primate
2,0.027567756762946125,PhyloP46way primate
1,0.02637704777019184,GC content
2,0.026016998053008944,GC content
3,0.025924156618903405,GC content
4,0.025876692183267595,GC content
5,0.025648558247235616,GC content
